Generating random hostid in /etc/hostid: 7443f6c5
Startup command: exec "Orthanc /tmp/orthanc.json"
W1022 15:21:04.090818             MAIN PluginsManager.cpp:158] Gdcm.RestrictTransferSyntaxes configuration is set and not empty, Orthanc will use GDCM to transcode SOME transfer syntaxes:
W1022 15:21:04.090836             MAIN PluginsManager.cpp:158] Orthanc will use GDCM to decode transfer syntax: 1.2.840.10008.1.2.4.90
W1022 15:21:04.090841             MAIN PluginsManager.cpp:158] Orthanc will use GDCM to decode transfer syntax: 1.2.840.10008.1.2.4.91
W1022 15:21:04.090846             MAIN PluginsManager.cpp:158] Orthanc will use GDCM to decode transfer syntax: 1.2.840.10008.1.2.4.92
W1022 15:21:04.090851             MAIN PluginsManager.cpp:158] Orthanc will use GDCM to decode transfer syntax: 1.2.840.10008.1.2.4.93
W1022 15:21:04.090857             MAIN PluginsManager.cpp:158] Throttling GDCM to 4 concurrent thread(s)
W1022 15:21:04.090869             MAIN PluginsManager.cpp:158] Version of GDCM: 3.0.24
W1022 15:21:04.096560             MAIN PluginsManager.cpp:287] Registering plugin 'postgresql-index' (version 9.0)
W1022 15:21:04.096859             MAIN postgresql-index:/PostgreSQLParameters.cpp:110] PostgreSQL: using READ COMMITTED transaction mode
W1022 15:21:04.096884             MAIN postgresql-index:/IndexBackend.cpp:3034] The index plugin will use 50 connection(s) to the database, and will retry up to 10 time(s) in the case of a collision
W1022 15:21:04.097289             MAIN PluginsManager.cpp:287] Registering plugin 'postgresql-storage' (version 9.0)
W1022 15:21:04.097600             MAIN postgresql-storage:/PostgreSQLParameters.cpp:110] PostgreSQL: using READ COMMITTED transaction mode
W1022 15:21:04.117913             MAIN postgresql-storage:/StorageBackend.cpp:698] The storage area plugin will retry up to 10 time(s) in the case of a collision
W1022 15:21:04.118273             MAIN PluginsManager.cpp:287] Registering plugin 'worklists' (version 1.12.9)
W1022 15:21:04.118299             MAIN worklists:/Plugin.cpp:229] Sample worklist plugin is initializing
W1022 15:21:04.118551             MAIN worklists:/Plugin.cpp:242] The database of worklists will be read from folder: /worklists
W1022 15:21:04.118965             MAIN PluginsManager.cpp:287] Registering plugin 'orthanc-explorer-2' (version 1.9.4)
W1022 15:21:04.119354             MAIN PluginsManager.cpp:158] Root URI to the Orthanc-Explorer 2 application: /ui/
W1022 15:21:04.119487             MAIN main.cpp:1791] Using a custom database from plugins
W1022 15:21:04.119514             MAIN main.cpp:1802] Using a custom storage area from plugins
W1022 15:21:04.136011             MAIN postgresql-index:/PostgreSQLIndex.cpp:142] The database schema already exists, checking if it needs to be updated
W1022 15:21:04.136967             MAIN postgresql-index:/PostgreSQLIndex.cpp:157] Current Database revision is 6
W1022 15:21:04.735140             MAIN main.cpp:1757] The DB latency is 154 µs
W1022 15:21:04.735188             MAIN HttpClient.cpp:1211] The verification of the peers in HTTPS requests is disabled
W1022 15:21:04.735668             MAIN LuaContext.cpp:95] Lua says: Lua toolbox installed
E1022 15:21:04.735774             MAIN OrthancException.cpp:62] The specified path does not point to a regular file: The path does not point to a regular file: /lua/hooks.lua
E1022 15:21:04.735945             MAIN ServerIndex.cpp:369] INTERNAL ERROR: ServerIndex::Stop() should be invoked manually to avoid mess in the destruction order!
W1022 15:21:05.238744             MAIN PluginsManager.cpp:224] Unregistering plugin 'dicom-web' (version 1.21)
W1022 15:21:05.238912             MAIN PluginsManager.cpp:224] Unregistering plugin 'gdcm' (version 1.8)
W1022 15:21:05.243390             MAIN PluginsManager.cpp:224] Unregistering plugin 'orthanc-explorer-2' (version 1.9.4)
W1022 15:21:05.243532             MAIN PluginsManager.cpp:224] Unregistering plugin 'postgresql-index' (version 9.0)
W1022 15:21:05.243551             MAIN postgresql-index:/IndexPlugin.cpp:108] PostgreSQL index is finalizing
W1022 15:21:05.243658             MAIN PluginsManager.cpp:224] Unregistering plugin 'postgresql-storage' (version 9.0)
W1022 15:21:05.243676             MAIN postgresql-storage:/StoragePlugin.cpp:87] PostgreSQL storage area is finalizing
W1022 15:21:05.244338             MAIN PluginsManager.cpp:224] Unregistering plugin 'worklists' (version 1.12.9)
W1022 15:21:05.244365             MAIN worklists:/Plugin.cpp:265] Sample worklist plugin is finalizing
E1022 15:21:05.244425             MAIN main.cpp:2185] Uncaught exception, stopping now: [The specified path does not point to a regular file] (code 2006)
W1022 15:21:05.244456             MAIN main.cpp:2216] Orthanc has stopped
Startup command: exec "Orthanc /tmp/orthanc.json"
W1022 15:21:05.881712             MAIN main.cpp:2128] Orthanc version: 1.12.9
W1022 15:21:05.881871             MAIN OrthancConfiguration.cpp:59] Reading the configuration from: "/tmp/orthanc.json"
W1022 15:21:05.908918             MAIN main.cpp:952] Loading plugin(s) from: /run/orthanc/plugins
W1022 15:21:05.908945             MAIN PluginsManager.cpp:259] Inexistent path to plugins: /run/orthanc/plugins
W1022 15:21:05.908953             MAIN main.cpp:952] Loading plugin(s) from: /usr/share/orthanc/plugins
W1022 15:21:05.909404             MAIN PluginsManager.cpp:287] Registering plugin 'dicom-web' (version 1.21)
W1022 15:21:05.909677             MAIN dicom-web:/Plugin.cpp:635] URI to the DICOMweb REST API: /dicom-web/
W1022 15:21:05.909927             MAIN dicom-web:/Plugin.cpp:748] DICOMweb public root: /dicom-web/
W1022 15:21:05.909946             MAIN dicom-web:/Plugin.cpp:750] The DICOMWeb plugin will use 1 threads to load DICOM files for WADO-RS queries
W1022 15:21:05.909953             MAIN dicom-web:/Plugin.cpp:761] URI to the WADO-URI API: /wado
W1022 15:21:05.922091             MAIN PluginsManager.cpp:287] Registering plugin 'gdcm' (version 1.8)
W1022 15:21:05.922392             MAIN PluginsManager.cpp:158] Gdcm.RestrictTransferSyntaxes configuration is set and not empty, Orthanc will use GDCM to transcode SOME transfer syntaxes:
W1022 15:21:05.922409             MAIN PluginsManager.cpp:158] Orthanc will use GDCM to decode transfer syntax: 1.2.840.10008.1.2.4.90
W1022 15:21:05.922415             MAIN PluginsManager.cpp:158] Orthanc will use GDCM to decode transfer syntax: 1.2.840.10008.1.2.4.91
W1022 15:21:05.922420             MAIN PluginsManager.cpp:158] Orthanc will use GDCM to decode transfer syntax: 1.2.840.10008.1.2.4.92
W1022 15:21:05.922424             MAIN PluginsManager.cpp:158] Orthanc will use GDCM to decode transfer syntax: 1.2.840.10008.1.2.4.93
W1022 15:21:05.922431             MAIN PluginsManager.cpp:158] Throttling GDCM to 4 concurrent thread(s)
W1022 15:21:05.922441             MAIN PluginsManager.cpp:158] Version of GDCM: 3.0.24
W1022 15:21:05.928258             MAIN PluginsManager.cpp:287] Registering plugin 'postgresql-index' (version 9.0)
W1022 15:21:05.928535             MAIN postgresql-index:/PostgreSQLParameters.cpp:110] PostgreSQL: using READ COMMITTED transaction mode
